Date,Platform,Campaign,Impressions,Clicks,Spend,Conversions,Revenue
2024-11-06,Meta Ads,Campaign_10,7853,262,516.65,29,531.93
2024-05-14,Meta Ads,Campaign_2,7972,273,397.05,42,3705.23
2024-06-12,Meta Ads,Campaign_24,7889,356,150.93,14,402.83
2024-04-09,Google Ads,Campaign_3,7957,386,398.42,67,6900.18
2024-03-14,Meta Ads,Campaign_7,8172,453,994.9,51,4519.05
2024-07-25,Google Ads,Campaign_13,8022,359,234.98,38,3141.52
2024-06-14,Meta Ads,Campaign_24,8129,250,245.27,18,2005.58
2024-04-07,Meta Ads,Campaign_20,8012,339,686.74,41,3722.33
2024-09-09,Google Ads,Campaign_7,8141,224,268.69,33,2694.55
2024-12-05,Meta Ads,Campaign_15,7895,189,191.55,16,872.56
2024-08-06,Google Ads,Campaign_1,7916,474,813.1,40,1824.71
2024-08-06,Meta Ads,Campaign_15,8011,478,744.63,58,3383.32
2024-04-09,Meta Ads,Campaign_28,7903,458,600.38,47,2312.17
2024-06-22,Google Ads,Campaign_6,8034,367,781.96,39,1971.7
2024-04-29,Google Ads,Campaign_27,8224,325,526.2,44,3550.94
2024-12-14,Meta Ads,Campaign_23,8121,270,397.68,43,5155.32
2024-04-11,Google Ads,Campaign_19,7951,256,403.28,12,1253.65
2024-02-27,Google Ads,Campaign_29,8001,463,591.98,56,3344.33
2024-05-17,Google Ads,Campaign_4,8062,219,158.48,26,3021.72
2024-02-04,Meta Ads,Campaign_30,7999,402,859.02,41,4912.19
2024-08-13,Google Ads,Campaign_4,7837,291,407.21,21,735.57
2024-11-26,Meta Ads,Campaign_30,8001,318,621.7,38,3587.18
2024-03-19,Meta Ads,Campaign_17,7808,202,410.98,30,2952.87
2024-11-16,Google Ads,Campaign_11,8055,463,551.21,54,1346.5
2024-08-11,Google Ads,Campaign_30,8008,363,771.73,49,1667.08
2024-03-18,Meta Ads,Campaign_12,8034,295,492.25,47,3830.66
2024-07-23,Google Ads,Campaign_14,8008,403,185.78,59,5295.17
2024-10-01,Meta Ads,Campaign_27,7907,160,339.36,28,1885.31
2024-04-19,Meta Ads,Campaign_12,8104,252,451.99,25,2702.09
2024-12-18,Meta Ads,Campaign_21,8019,205,461.35,24,2381.05
2024-03-01,Google Ads,Campaign_3,7985,290,214.76,29,2419.54
2024-11-16,Meta Ads,Campaign_16,7910,400,865.21,40,813.09
2024-08-18,Meta Ads,Campaign_24,8039,349,313.53,45,1919.0
2024-01-17,Meta Ads,Campaign_2,7980,399,703.28,24,2086.83
2024-04-23,Google Ads,Campaign_15,7872,236,297.91,32,3239.15
2024-03-11,Meta Ads,Campaign_18,7975,335,218.02,34,2160.12
2024-12-27,Google Ads,Campaign_30,7905,372,679.28,25,1275.81
2024-09-02,Google Ads,Campaign_28,8050,221,377.97,30,3415.99
2024-02-04,Meta Ads,Campaign_17,7943,318,730.41,34,3855.78
2024-10-06,Meta Ads,Campaign_25,8030,395,412.89,23,2564.43
2024-05-17,Meta Ads,Campaign_20,7989,213,158.94,27,672.46
2024-05-15,Google Ads,Campaign_13,8000,174,195.27,18,291.48
2024-12-20,Meta Ads,Campaign_8,7952,447,732.83,35,607.21
2024-01-12,Google Ads,Campaign_17,8072,311,300.63,31,657.44
2024-07-29,Google Ads,Campaign_14,8187,461,385.51,41,2075.68
2024-07-29,Meta Ads,Campaign_1,7982,212,130.15,11,478.03
2024-03-09,Google Ads,Campaign_23,8021,425,849.92,43,1150.18
2024-09-24,Meta Ads,Campaign_28,7909,252,538.29,35,3090.66
2024-11-30,Meta Ads,Campaign_4,7836,427,450.84,22,1251.93
2024-07-02,Google Ads,Campaign_5,8194,453,183.91,46,5014.66
2024-03-16,Google Ads,Campaign_9,7952,338,458.61,30,3074.98
2024-01-08,Meta Ads,Campaign_8,7956,244,542.31,32,1681.57
2024-01-17,Google Ads,Campaign_4,8007,250,342.94,36,3305.43
2024-11-09,Google Ads,Campaign_10,8061,365,249.9,60,1383.65
2024-02-01,Google Ads,Campaign_19,7820,188,192.84,25,2297.15
2024-11-30,Google Ads,Campaign_30,7928,460,807.16,54,4644.79
2024-12-22,Google Ads,Campaign_15,7888,215,213.3,22,406.2
2024-06-18,Google Ads,Campaign_20,8015,301,684.4,19,1356.77
2024-11-23,Google Ads,Campaign_30,7819,245,561.06,32,3253.68
2024-09-07,Google Ads,Campaign_17,7892,339,669.36,17,1068.78
2024-08-19,Meta Ads,Campaign_1,7901,203,360.28,20,605.56
2024-04-26,Meta Ads,Campaign_23,7908,208,391.44,29,1635.68
2024-05-26,Google Ads,Campaign_3,7880,350,263.02,58,4210.29
2024-02-04,Meta Ads,Campaign_26,8079,461,846.15,51,1523.2
2024-06-25,Google Ads,Campaign_15,7871,388,767.46,54,5097.12
2024-04-08,Meta Ads,Campaign_3,8164,298,434.94,22,584.25
2024-05-11,Google Ads,Campaign_25,8002,212,352.54,34,3615.33
2024-01-01,Meta Ads,Campaign_23,8001,414,792.73,57,1783.12
2024-02-09,Meta Ads,Campaign_30,8150,412,213.73,70,1463.52
2024-12-10,Google Ads,Campaign_12,8062,245,458.42,24,2375.95
2024-07-14,Meta Ads,Campaign_25,8162,374,853.0,35,1222.1
2024-08-11,Google Ads,Campaign_23,7900,436,873.16,64,1390.15
2024-07-02,Google Ads,Campaign_18,7993,443,330.04,78,4414.39
2024-01-04,Meta Ads,Campaign_23,7919,309,614.41,19,565.41
2024-06-23,Meta Ads,Campaign_27,8227,480,248.77,65,1887.55
2024-01-06,Meta Ads,Campaign_8,8003,428,426.4,72,6946.16
2024-06-17,Meta Ads,Campaign_12,8031,183,178.52,32,2942.98
2024-11-15,Google Ads,Campaign_27,8085,186,288.87,25,1617.15
2024-11-28,Meta Ads,Campaign_20,8009,176,218.61,19,1390.51
2024-12-17,Meta Ads,Campaign_9,7932,369,343.44,64,1481.52
2024-11-28,Meta Ads,Campaign_24,7970,451,876.4,63,2700.66
2024-04-19,Google Ads,Campaign_4,7983,266,527.43,45,4092.82
2024-08-25,Meta Ads,Campaign_15,7895,305,414.45,40,1782.99
2024-05-25,Meta Ads,Campaign_28,7890,427,499.73,29,641.52
2024-11-28,Google Ads,Campaign_23,8025,389,689.52,20,421.73
2024-05-28,Meta Ads,Campaign_3,8119,270,180.27,44,1506.44
2024-04-23,Google Ads,Campaign_27,7959,309,409.54,44,671.79
2024-04-19,Google Ads,Campaign_19,8027,259,529.81,15,1226.29
2024-02-29,Meta Ads,Campaign_29,8082,314,779.83,36,4118.39
2024-07-27,Google Ads,Campaign_16,8033,237,101.91,12,956.13
2024-05-18,Google Ads,Campaign_26,7998,203,407.46,28,2850.65
2024-07-30,Google Ads,Campaign_27,7846,253,395.87,32,1087.36
2024-02-04,Meta Ads,Campaign_25,7914,203,350.52,9,843.05
2024-07-26,Meta Ads,Campaign_29,7966,402,754.96,70,4777.55
2024-01-12,Google Ads,Campaign_20,7899,190,425.5,28,1242.74
2024-03-24,Google Ads,Campaign_25,8002,368,595.15,34,2112.69
2024-05-31,Meta Ads,Campaign_5,8139,342,365.91,44,4506.17
2024-12-06,Meta Ads,Campaign_21,8127,262,176.63,23,983.34
2024-03-10,Google Ads,Campaign_15,8109,302,350.81,21,2249.54
2024-02-22,Google Ads,Campaign_27,8080,256,443.62,41,4819.59
2024-06-02,Meta Ads,Campaign_27,8054,346,313.62,51,3773.51
2024-03-09,Google Ads,Campaign_16,7927,363,282.79,46,4098.18
2024-10-20,Meta Ads,Campaign_16,8066,290,435.19,16,1822.32
2024-01-09,Meta Ads,Campaign_4,8046,377,350.08,15,551.6
2024-07-30,Meta Ads,Campaign_8,8038,297,433.89,52,3822.02
2024-07-22,Meta Ads,Campaign_15,7980,438,286.38,27,1415.99
2024-02-05,Meta Ads,Campaign_20,8125,326,584.93,28,3209.83
2024-03-24,Meta Ads,Campaign_9,7995,359,198.94,37,3477.37
2024-12-17,Meta Ads,Campaign_20,7937,307,728.3,39,3912.06
2024-04-05,Google Ads,Campaign_11,8038,389,576.67,46,4078.7
2024-01-09,Meta Ads,Campaign_11,8224,485,690.04,26,553.64
2024-12-22,Google Ads,Campaign_22,7873,206,106.06,26,1117.9
2024-08-13,Google Ads,Campaign_3,7932,465,516.77,33,764.42
2024-03-21,Google Ads,Campaign_22,7967,219,323.34,11,1250.25
2024-10-20,Google Ads,Campaign_26,7994,477,742.07,64,2349.98
2024-09-18,Meta Ads,Campaign_25,7976,199,442.61,9,939.65
2024-07-15,Meta Ads,Campaign_27,8013,325,687.75,23,463.37
2024-03-30,Meta Ads,Campaign_21,7881,381,285.35,37,2928.55
2024-09-30,Meta Ads,Campaign_11,8042,209,475.42,18,1368.09
2024-08-28,Meta Ads,Campaign_9,7929,319,428.54,17,484.6
2024-05-13,Meta Ads,Campaign_29,8041,348,438.82,33,690.53
2024-11-24,Meta Ads,Campaign_14,8124,290,311.18,41,3962.06
2024-03-07,Google Ads,Campaign_28,7840,205,393.11,30,2661.51
2024-02-03,Google Ads,Campaign_9,7887,314,776.0,53,1852.95
2024-09-15,Meta Ads,Campaign_12,8044,214,435.01,10,1127.68
2024-09-13,Meta Ads,Campaign_23,7827,165,150.72,14,1466.34
2024-03-19,Google Ads,Campaign_18,8076,254,460.04,33,2011.85
2024-01-29,Meta Ads,Campaign_11,7915,306,447.91,26,1932.34
2024-02-09,Meta Ads,Campaign_20,7961,231,298.8,18,1483.53
2024-07-04,Google Ads,Campaign_13,7910,288,692.87,49,4000.53
2024-03-29,Google Ads,Campaign_3,7964,196,235.71,16,1196.45
2024-09-05,Google Ads,Campaign_12,8112,209,178.38,23,940.04
2024-07-17,Meta Ads,Campaign_15,8006,377,448.18,28,1883.01
2024-08-18,Meta Ads,Campaign_16,8004,254,123.82,42,4615.88
2024-12-21,Meta Ads,Campaign_28,7955,424,335.63,63,4533.06
2024-12-24,Google Ads,Campaign_28,8135,461,908.26,52,3616.31
2024-06-29,Meta Ads,Campaign_30,7901,349,804.74,56,2062.1
2024-07-18,Meta Ads,Campaign_24,8070,418,196.01,37,1528.68
2024-06-08,Meta Ads,Campaign_11,8032,431,354.57,19,1185.76
2024-05-02,Meta Ads,Campaign_24,7929,295,344.02,26,1853.82
2024-05-09,Meta Ads,Campaign_24,7908,380,808.1,15,897.16
2024-12-21,Google Ads,Campaign_9,7852,219,401.43,25,2011.9
2024-02-12,Meta Ads,Campaign_3,8057,359,326.55,36,3923.61
2024-03-21,Meta Ads,Campaign_21,8017,358,229.37,32,2492.17
2024-12-27,Google Ads,Campaign_15,7877,455,1097.82,30,3097.62
2024-01-03,Google Ads,Campaign_30,8147,252,510.89,42,2152.87
2024-08-06,Meta Ads,Campaign_13,7996,192,384.86,9,457.17
2024-03-04,Meta Ads,Campaign_22,7979,341,639.53,32,2378.61
2024-10-19,Google Ads,Campaign_16,8042,268,358.1,26,2191.79
2024-04-28,Meta Ads,Campaign_13,7957,412,369.75,45,1515.21
2024-08-25,Meta Ads,Campaign_29,8022,187,86.13,8,308.16
2024-04-08,Meta Ads,Campaign_5,7950,172,183.17,13,1189.91
2024-10-01,Meta Ads,Campaign_22,7961,349,562.66,62,3342.86
2024-04-25,Meta Ads,Campaign_22,7925,259,172.06,10,1042.04
2024-12-31,Meta Ads,Campaign_23,7944,407,659.68,57,5077.21
2024-08-31,Google Ads,Campaign_20,7875,294,457.14,22,2387.18
2024-10-21,Meta Ads,Campaign_28,8035,247,614.43,39,942.04
2024-12-11,Google Ads,Campaign_13,7951,440,426.55,59,6499.54
2024-12-23,Meta Ads,Campaign_12,8031,433,189.17,60,1410.19
2024-11-27,Google Ads,Campaign_30,7979,176,325.48,29,2501.2
2024-03-10,Google Ads,Campaign_12,8120,413,510.14,67,3845.67
2024-09-23,Google Ads,Campaign_22,7919,333,793.68,55,3063.88
2024-12-25,Google Ads,Campaign_1,8051,302,719.01,27,2977.54
2024-04-17,Meta Ads,Campaign_15,7925,378,886.47,48,897.04
2024-06-30,Google Ads,Campaign_24,8045,298,382.58,39,3757.56
2024-09-26,Google Ads,Campaign_16,8006,336,731.66,15,237.23
2024-10-19,Google Ads,Campaign_24,8014,385,487.14,21,2263.94
2024-12-21,Google Ads,Campaign_8,8117,205,220.3,20,1788.11
2024-01-01,Meta Ads,Campaign_29,8061,272,429.88,22,1316.71
2024-05-17,Meta Ads,Campaign_24,8003,257,423.37,34,2506.44
2024-07-08,Meta Ads,Campaign_21,7915,269,328.61,28,984.76
2024-06-27,Google Ads,Campaign_24,7877,306,493.6,13,1455.42
